date,time,place,name,url,confirmed
2023-03-18,19:00,Šumperk,Svatý Patrik,https://www.dksumperk.cz/event/keltsky-vecer2023,TRUE
2023-03-17,20:00,Beroun,Svatý Patrik,https://www.mkcberoun.cz/kalendar/detail/449,TRUE
2023-01-20,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2023-01-05,16:00,Praha,Staroměstské náměstí,,TRUE
2022-11-25,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2022-11-02,19:30,Brno,Stará pekárna,http://www.starapekarna.cz/,TRUE
2022-10-26,,Praha,Samhain v KC Vozovna Žižkov,http://www.kcvozovna.cz/,TRUE
2022-09-15,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2022-07-22,16:30,Plumlov,Keltská noc,http://www.keltska-noc.cz/,TRUE
2022-07-02,,Kostelík,Skotsko v Kostelíku,https://kostelik.cz/tag/skotsko-v-kosteliku/,TRUE
2022-06-18,20:00,Kladruby,Slunovrat,https://www.kladruby.cz/galerie/detail/1241,TRUE
2022-06-16,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2022-04-30,18:00,Zámek Nižbor,Beltine,https://www.facebook.com/events/3187668618183834/,TRUE
2022-04-29,20:00,Praha,Beltine v Balbínce,http://www.balbinka.cz/,TRUE
2022-03-18,20:00,Domažlice,Peter's pub,https://peeterspub.metro.bar,TRUE
2022-02-25,20:00,Praha,KŘEST ALBA,http://www.balbinka.cz/,TRUE
2021-12-02,ZRUŠENO,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2021-11-03,20:00,Brno,Stará pekárna,http://www.starapekarna.cz/,TRUE
2021-09-17,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2021-09-11,,Praha,Beer fest Holešovice,,TRUE
2021-09-04,14:00,Zichovec,Skotské hry na Zichovci,https://www.facebook.com/events/361184041737088/?acontext=%7B%22source%22%3A%2229%22%2C%22ref_notif_type%22%3A%22plan_user_invited%22%2C%22action_history%22%3A%22null%22%7D&notif_id=1622045051184416&notif_t=plan_user_invited&ref=notif,TRUE
2021-08-31,20:00,Praha,klub Vagon,http://www.vagon.cz/,TRUE
2021-08-21,,Jivjany,Keltský skanzen,http://www.vousuvkmen.cz/,TRUE
2021-08-07,ZRUŠENO,Hrad Veveří,Lughnasad,http://www.lughnasad.cz/,TRUE
2021-07-17,15:00,Budyně nad Ohří,Keltský kruh,http://www.partynaklic.cz/cenik/keltsky-kruh-celtic-circle/hlavni-informace/,TRUE
2021-06-05,,Werichova vila,Soukromá akce,,TRUE
2021-04-17,,Divadlo v Celetné,Video stream,https://www.youtube.com/watch?v=jHzdRauJLls&t=14358s,TRUE
2020-12-19,ZRUŠENO,Rakovník,Vánoční koncert,,TRUE
2020-10-20,ZRUŠENO,Praha,S kapelou Chip&Co. v klubu Vagon,http://www.vagon.cz/,TRUE
2020-10-15,ZRUŠENO,Brno - Atrium Fakulty sociáních studií MU,Ekofilm,https://www.ekofilm.cz/program/,TRUE
2020-09-19,,Nové Strašecí,,,TRUE
2020-09-18,večer,Domažlice,Peter's pub,https://peeterspub.metro.bar,TRUE
2020-09-05,18:00,Valašské meziříčí,I. nádvoří zámku Žerotínů,https://mklub.kzvalmez.cz/udalost/3377-ri-ra/,TRUE
2020-09-03,,,Soukromá akce,,TRUE
2020-08-29,15:30,Zámek Sychrov,Skotské hry,https://www.skotskehry.cz/,TRUE
2020-08-08,15:00,Železná ruda,Železnorudské slavnosti,https://www.zelezna-ruda.cz/zeleznaruda/kalendar-akci.asp?kxdate=2020-08-08,TRUE
2020-07-11,ZRUŠENO,Kostelík,Skotsko v Kostelíku,https://kostelik.cz/tag/skotsko-v-kosteliku/,TRUE
2020-07-01,19:00,Praha,Kamina boat,https://www.kaminaboat.cz/,TRUE
2020-06-17,18:00,Praha,KC Vozovna Žižkov,http://www.kcvozovna.cz/,TRUE
2020-04-07,ZRUŠENO,Praha,Balbínova poetická hospůdka,http://www.balbinka.cz/,TRUE
2020-03-28,ZRUŠENO,Volduchy u Rokycan,Voldušské skotačení,https://www.facebook.com/groups/1663865267246528/,TRUE
2020-03-04,20:00,Brno,Stará pekárna,http://www.starapekarna.cz/,TRUE
2020-03-03,19:00,Bratislava,Klub pod lampou,https://www.facebook.com/klubpodlampou,TRUE
2020-01-13,20:00,Praha,S kapelou Rajtaraj v klubu Vagon,http://www.vagon.cz/,TRUE
2019-11-27,20:00,Praha,Kamina boat,https://www.kaminaboat.cz/,TRUE
2019-11-21,,Praha,Irská ambasáda,,TRUE
2019-08-16,21:00,Sedlec u Mikulova,Sedlfest,,TRUE
2019-07-27,18:30,Nasavrky,Lughnasad,http://www.lughnasad.cz/,TRUE
